client_id,phone,observation_month,profession,estimated_income_usd,orange_money_account_age_months,historical_risk_score,paid_months_count,kit_is_suspended,payment_success_rate,failed_payment_count_12m,late_payment_count_12m,missed_payment_count_12m,days_since_last_payment,avg_payment_amount_usd,payment_amount_volatility,income_to_fee_ratio,profession_risk_score,default_next_90d
ACC-2026-0004,0841527021,2025-09,Vendeur de rue,135.31,11,0.437,5,0,1.0,0,1,0,0,26.14,15.0,5.412,0.62,1
ACC-2026-0004,0841527021,2025-10,Vendeur de rue,135.31,12,0.437,5,0,0.667,0,1,1,30,24.72,15.0,5.412,0.62,0
ACC-2026-0004,0841527021,2025-11,Vendeur de rue,135.31,13,0.437,6,0,0.75,0,1,1,0,25.69,15.0,5.412,0.62,1
ACC-2026-0004,0841527021,2025-12,Vendeur de rue,135.31,14,0.437,7,0,0.8,0,1,1,0,24.36,15.0,5.412,0.62,1
ACC-2026-0004,0841527021,2026-01,Vendeur de rue,135.31,15,0.437,8,0,0.833,0,2,1,0,24.79,15.0,5.412,0.62,1
ACC-2026-0004,0841527021,2026-02,Vendeur de rue,135.31,16,0.437,8,0,0.714,1,2,1,30,24.77,15.0,5.412,0.62,0
ACC-2026-0004,0841527021,2026-03,Vendeur de rue,135.31,17,0.437,8,0,0.625,1,2,2,60,26.34,15.0,5.412,0.62,0
ACC-2026-0004,0841527021,2026-04,Vendeur de rue,135.31,18,0.437,9,1,0.667,1,2,2,0,24.94,15.0,5.412,0.62,1
ACC-2026-0004,0841527021,2026-05,Vendeur de rue,135.31,19,0.437,9,1,0.6,1,2,3,30,26.94,15.0,5.412,0.62,1
ACC-2026-0004,0841527021,2026-06,Vendeur de rue,135.31,20,0.437,10,1,0.636,1,2,3,0,26.83,15.0,5.412,0.62,1
ACC-2026-0004,0841527021,2026-07,Vendeur de rue,135.31,21,0.437,11,1,0.667,1,2,3,0,24.19,15.0,5.412,0.62,1
ACC-2026-0005,0842022698,2025-08,Agriculteur,415.82,65,0.152,5,0,1.0,0,0,0,0,23.74,3.8,16.633,0.46,0
ACC-2026-0005,0842022698,2025-09,Agriculteur,415.82,66,0.152,6,0,1.0,0,0,0,0,23.48,3.8,16.633,0.46,0
ACC-2026-0005,0842022698,2025-10,Agriculteur,415.82,67,0.152,7,0,1.0,0,0,0,0,25.48,3.8,16.633,0.46,0
ACC-2026-0005,0842022698,2025-11,Agriculteur,415.82,68,0.152,8,0,1.0,0,0,0,0,26.74,3.8,16.633,0.46,0
ACC-2026-0005,0842022698,2025-12,Agriculteur,415.82,69,0.152,9,0,1.0,0,0,0,0,24.58,3.8,16.633,0.46,0
ACC-2026-0005,0842022698,2026-01,Agriculteur,415.82,70,0.152,10,0,1.0,0,0,0,0,26.01,3.8,16.633,0.46,0
ACC-2026-0005,0842022698,2026-02,Agriculteur,415.82,71,0.152,11,0,1.0,0,0,0,0,26.98,3.8,16.633,0.46,0
ACC-2026-0005,0842022698,2026-03,Agriculteur,415.82,72,0.152,12,0,1.0,0,0,0,0,26.73,3.8,16.633,0.46,0
ACC-2026-0005,0842022698,2026-04,Agriculteur,415.82,73,0.152,13,0,1.0,0,0,0,0,23.63,3.8,16.633,0.46,0
ACC-2026-0005,0842022698,2026-05,Agriculteur,415.82,74,0.152,14,0,1.0,0,0,0,0,26.95,3.8,16.633,0.46,1
ACC-2026-0005,0842022698,2026-06,Agriculteur,415.82,75,0.152,15,0,1.0,0,0,0,0,24.2,3.8,16.633,0.46,0
ACC-2026-0005,0842022698,2026-07,Agriculteur,415.82,76,0.152,16,0,1.0,0,0,0,0,23.46,3.8,16.633,0.46,0
ACC-2026-0006,0845569244,2025-08,Infirmier,407.18,27,0.083,3,0,1.0,0,0,0,0,28.81,2.49,13.573,0.24,1
ACC-2026-0006,0845569244,2025-09,Infirmier,407.18,28,0.083,4,0,1.0,0,0,0,0,31.58,2.49,13.573,0.24,0
ACC-2026-0006,0845569244,2025-10,Infirmier,407.18,29,0.083,5,0,1.0,0,0,0,0,32.3,2.49,13.573,0.24,0
ACC-2026-0006,0845569244,2025-11,Infirmier,407.18,30,0.083,6,0,1.0,0,0,0,0,30.29,2.49,13.573,0.24,0
ACC-2026-0006,0845569244,2025-12,Infirmier,407.18,31,0.083,7,0,1.0,0,0,0,0,28.32,2.49,13.573,0.24,0
ACC-2026-0006,0845569244,2026-01,Infirmier,407.18,32,0.083,8,0,1.0,0,0,0,0,29.66,2.49,13.573,0.24,0
ACC-2026-0006,0845569244,2026-02,Infirmier,407.18,33,0.083,9,0,1.0,0,0,0,0,32.27,2.49,13.573,0.24,0
ACC-2026-0006,0845569244,2026-03,Infirmier,407.18,34,0.083,10,0,1.0,0,0,0,0,30.8,2.49,13.573,0.24,0
ACC-2026-0006,0845569244,2026-04,Infirmier,407.18,35,0.083,11,0,1.0,0,0,0,0,32.27,2.49,13.573,0.24,0
ACC-2026-0006,0845569244,2026-05,Infirmier,407.18,36,0.083,12,0,1.0,0,0,0,0,28.38,2.49,13.573,0.24,0
ACC-2026-0006,0845569244,2026-06,Infirmier,407.18,37,0.083,13,0,1.0,0,0,0,0,28.46,2.49,13.573,0.24,0
ACC-2026-0006,0845569244,2026-07,Infirmier,407.18,38,0.083,14,0,1.0,0,0,0,0,30.82,2.49,13.573,0.24,0
ACC-2026-0007,0843670896,2025-08,Agriculteur,444.55,61,0.159,4,0,1.0,0,0,0,0,10.51,1.59,44.455,0.46,0
ACC-2026-0007,0843670896,2025-09,Agriculteur,444.55,62,0.159,5,0,1.0,0,0,0,0,9.84,1.59,44.455,0.46,0
ACC-2026-0007,0843670896,2025-10,Agriculteur,444.55,63,0.159,6,0,1.0,0,0,0,0,9.76,1.59,44.455,0.46,0
ACC-2026-0007,0843670896,2025-11,Agriculteur,444.55,64,0.159,7,0,1.0,0,0,0,0,9.73,1.59,44.455,0.46,0
ACC-2026-0007,0843670896,2025-12,Agriculteur,444.55,65,0.159,8,0,1.0,0,0,0,0,10.13,1.59,44.455,0.46,1
ACC-2026-0007,0843670896,2026-01,Agriculteur,444.55,66,0.159,9,0,1.0,0,0,0,0,9.75,1.59,44.455,0.46,0
ACC-2026-0007,0843670896,2026-02,Agriculteur,444.55,67,0.159,10,0,1.0,0,0,0,0,9.39,1.59,44.455,0.46,0
ACC-2026-0007,0843670896,2026-03,Agriculteur,444.55,68,0.159,11,0,1.0,0,1,0,0,9.9,1.59,44.455,0.46,0
ACC-2026-0007,0843670896,2026-04,Agriculteur,444.55,69,0.159,12,0,1.0,0,1,0,0,10.7,1.59,44.455,0.46,0
ACC-2026-0007,0843670896,2026-05,Agriculteur,444.55,70,0.159,13,0,1.0,0,1,0,0,10.72,1.59,44.455,0.46,0
ACC-2026-0007,0843670896,2026-06,Agriculteur,444.55,71,0.159,14,0,1.0,0,1,0,0,9.4,1.59,44.455,0.46,0
ACC-2026-0007,0843670896,2026-07,Agriculteur,444.55,72,0.159,15,0,1.0,0,1,0,0,9.72,1.59,44.455,0.46,0
ACC-2026-0008,0844218542,2025-08,Commercant independant,444.7,49,0.202,2,0,1.0,0,0,0,0,29.04,6.05,14.823,0.36,1
ACC-2026-0008,0844218542,2025-09,Commercant independant,444.7,50,0.202,3,0,1.0,0,0,0,0,29.66,6.05,14.823,0.36,0
ACC-2026-0008,0844218542,2025-10,Commercant independant,444.7,51,0.202,4,0,1.0,0,0,0,0,29.72,6.05,14.823,0.36,0
ACC-2026-0008,0844218542,2025-11,Commercant independant,444.7,52,0.202,5,0,1.0,0,0,0,0,31.42,6.05,14.823,0.36,0
ACC-2026-0008,0844218542,2025-12,Commercant independant,444.7,53,0.202,6,0,1.0,0,0,0,0,30.64,6.05,14.823,0.36,0
ACC-2026-0008,0844218542,2026-01,Commercant independant,444.7,54,0.202,7,0,1.0,0,0,0,0,30.83,6.05,14.823,0.36,0
ACC-2026-0008,0844218542,2026-02,Commercant independant,444.7,55,0.202,7,0,0.857,0,0,1,30,28.78,6.05,14.823,0.36,0
ACC-2026-0008,0844218542,2026-03,Commercant independant,444.7,56,0.202,8,0,0.875,0,1,1,0,29.59,6.05,14.823,0.36,0
ACC-2026-0008,0844218542,2026-04,Commercant independant,444.7,57,0.202,9,0,0.889,0,1,1,0,29.97,6.05,14.823,0.36,0
ACC-2026-0008,0844218542,2026-05,Commercant independant,444.7,58,0.202,9,0,0.8,0,1,2,30,31.2,6.05,14.823,0.36,0
ACC-2026-0008,0844218542,2026-06,Commercant independant,444.7,59,0.202,10,0,0.818,0,1,2,0,28.44,9.65,14.823,0.36,0
ACC-2026-0008,0844218542,2026-07,Commercant independant,444.7,60,0.202,10,1,0.75,0,1,3,30,31.67,9.65,14.823,0.36,0
ACC-2026-0009,0849910914,2025-08,Sans emploi,55.43,57,0.601,5,0,1.0,0,0,0,0,26.63,15.0,2.217,0.78,1
ACC-2026-0009,0849910914,2025-09,Sans emploi,55.43,58,0.601,6,0,1.0,0,0,0,0,24.8,15.0,2.217,0.78,0
ACC-2026-0009,0849910914,2025-10,Sans emploi,55.43,59,0.601,7,0,1.0,0,1,0,0,26.11,15.0,2.217,0.78,1
ACC-2026-0009,0849910914,2025-11,Sans emploi,55.43,60,0.601,8,0,1.0,0,1,0,0,25.85,15.0,2.217,0.78,1
ACC-2026-0009,0849910914,2025-12,Sans emploi,55.43,61,0.601,9,0,1.0,0,1,0,0,23.32,15.0,2.217,0.78,1
ACC-2026-0009,0849910914,2026-01,Sans emploi,55.43,62,0.601,9,0,0.833,0,1,1,30,23.86,15.0,2.217,0.78,1
ACC-2026-0009,0849910914,2026-02,Sans emploi,55.43,63,0.601,10,0,0.857,0,1,1,0,23.25,15.0,2.217,0.78,1
ACC-2026-0009,0849910914,2026-03,Sans emploi,55.43,64,0.601,11,0,0.875,0,1,1,0,26.78,15.0,2.217,0.78,0
ACC-2026-0009,0849910914,2026-04,Sans emploi,55.43,65,0.601,12,0,0.889,0,1,1,0,24.91,15.0,2.217,0.78,1
ACC-2026-0009,0849910914,2026-05,Sans emploi,55.43,66,0.601,13,0,0.9,0,1,1,0,26.57,15.0,2.217,0.78,0
ACC-2026-0009,0849910914,2026-06,Sans emploi,55.43,67,0.601,14,0,0.909,0,1,1,0,26.2,15.0,2.217,0.78,0
ACC-2026-0009,0849910914,2026-07,Sans emploi,55.43,68,0.601,15,0,0.917,0,2,1,0,24.94,15.0,2.217,0.78,0
ACC-2026-0010,0847783308,2025-08,Agriculteur,192.95,60,0.284,4,0,0.0,0,0,1,365,9.83,2.84,19.295,0.46,1
ACC-2026-0010,0847783308,2025-09,Agriculteur,192.95,61,0.284,5,0,0.5,0,0,1,0,9.42,2.84,19.295,0.46,1
ACC-2026-0010,0847783308,2025-10,Agriculteur,192.95,62,0.284,6,0,0.667,0,0,1,0,9.54,2.84,19.295,0.46,0
ACC-2026-0010,0847783308,2025-11,Agriculteur,192.95,63,0.284,7,0,0.75,0,0,1,0,10.4,2.84,19.295,0.46,0
ACC-2026-0010,0847783308,2025-12,Agriculteur,192.95,64,0.284,8,0,0.8,0,1,1,0,9.23,2.84,19.295,0.46,0
ACC-2026-0010,0847783308,2026-01,Agriculteur,192.95,65,0.284,9,0,0.833,0,1,1,0,10.24,2.84,19.295,0.46,0
ACC-2026-0010,0847783308,2026-02,Agriculteur,192.95,66,0.284,10,0,0.857,0,1,1,0,10.72,2.84,19.295,0.46,1
ACC-2026-0010,0847783308,2026-03,Agriculteur,192.95,67,0.284,11,0,0.875,0,1,1,0,9.4,2.84,19.295,0.46,0
ACC-2026-0010,0847783308,2026-04,Agriculteur,192.95,68,0.284,12,0,0.889,0,1,1,0,10.32,2.84,19.295,0.46,0
ACC-2026-0010,0847783308,2026-05,Agriculteur,192.95,69,0.284,13,0,0.9,0,1,1,0,10.4,2.84,19.295,0.46,0
ACC-2026-0010,0847783308,2026-06,Agriculteur,192.95,70,0.284,14,0,0.909,0,1,1,0,9.37,2.84,19.295,0.46,0
ACC-2026-0010,0847783308,2026-07,Agriculteur,192.95,71,0.284,15,0,0.917,0,1,1,0,10.73,2.84,19.295,0.46,0
ACC-2026-0011,0842275009,2025-08,Chauffeur,351.54,39,0.205,1,0,1.0,0,0,0,0,30.32,6.15,11.718,0.42,0
ACC-2026-0011,0842275009,2025-09,Chauffeur,351.54,40,0.205,2,0,1.0,0,0,0,0,27.93,6.15,11.718,0.42,1
ACC-2026-0011,0842275009,2025-10,Chauffeur,351.54,41,0.205,3,0,1.0,0,0,0,0,29.95,6.15,11.718,0.42,0
ACC-2026-0011,0842275009,2025-11,Chauffeur,351.54,42,0.205,4,0,1.0,0,0,0,0,29.81,6.15,11.718,0.42,0
ACC-2026-0011,0842275009,2025-12,Chauffeur,351.54,43,0.205,5,0,1.0,0,0,0,0,30.72,6.15,11.718,0.42,0
ACC-2026-0011,0842275009,2026-01,Chauffeur,351.54,44,0.205,6,0,1.0,0,0,0,0,29.83,6.15,11.718,0.42,0
ACC-2026-0011,0842275009,2026-02,Chauffeur,351.54,45,0.205,7,0,1.0,0,0,0,0,28.78,6.15,11.718,0.42,0
ACC-2026-0011,0842275009,2026-03,Chauffeur,351.54,46,0.205,8,0,1.0,0,0,0,0,31.2,6.15,11.718,0.42,0
ACC-2026-0011,0842275009,2026-04,Chauffeur,351.54,47,0.205,9,0,1.0,0,0,0,0,29.97,6.15,11.718,0.42,0
ACC-2026-0011,0842275009,2026-05,Chauffeur,351.54,48,0.205,10,0,1.0,0,0,0,0,28.84,6.15,11.718,0.42,0
ACC-2026-0011,0842275009,2026-06,Chauffeur,351.54,49,0.205,11,0,1.0,0,0,0,0,30.27,6.15,11.718,0.42,0
ACC-2026-0011,0842275009,2026-07,Chauffeur,351.54,50,0.205,12,0,1.0,0,0,0,0,29.55,6.15,11.718,0.42,0
ACC-2026-0012,0848987516,2025-08,Chauffeur,265.35,63,0.236,1,0,1.0,0,0,0,0,19.69,4.72,13.268,0.42,0
ACC-2026-0012,0848987516,2025-09,Chauffeur,265.35,64,0.236,2,0,1.0,0,0,0,0,20.17,4.72,13.268,0.42,0
ACC-2026-0012,0848987516,2025-10,Chauffeur,265.35,65,0.236,3,0,1.0,0,0,0,0,19.53,4.72,13.268,0.42,0
ACC-2026-0012,0848987516,2025-11,Chauffeur,265.35,66,0.236,4,0,1.0,0,0,0,0,20.71,4.72,13.268,0.42,0
ACC-2026-0012,0848987516,2025-12,Chauffeur,265.35,67,0.236,5,0,1.0,0,0,0,0,20.61,4.72,13.268,0.42,0
ACC-2026-0012,0848987516,2026-01,Chauffeur,265.35,68,0.236,6,0,1.0,0,0,0,0,20.29,4.72,13.268,0.42,0
ACC-2026-0012,0848987516,2026-02,Chauffeur,265.35,69,0.236,7,0,1.0,0,0,0,0,21.06,4.72,13.268,0.42,0
ACC-2026-0012,0848987516,2026-03,Chauffeur,265.35,70,0.236,8,0,1.0,0,0,0,0,20.67,4.72,13.268,0.42,1
ACC-2026-0012,0848987516,2026-04,Chauffeur,265.35,71,0.236,9,0,1.0,0,1,0,0,19.33,4.72,13.268,0.42,0
ACC-2026-0012,0848987516,2026-05,Chauffeur,265.35,72,0.236,10,0,1.0,0,1,0,0,18.73,4.72,13.268,0.42,0
ACC-2026-0012,0848987516,2026-06,Chauffeur,265.35,73,0.236,11,0,1.0,0,1,0,0,19.49,4.72,13.268,0.42,0
ACC-2026-0012,0848987516,2026-07,Chauffeur,265.35,74,0.236,12,0,1.0,0,1,0,0,18.77,4.72,13.268,0.42,0
ACC-2026-0013,0841899411,2025-08,Enseignant,450.55,11,0.038,4,0,1.0,0,0,0,0,10.47,0.38,45.055,0.22,0
ACC-2026-0013,0841899411,2025-09,Enseignant,450.55,12,0.038,5,0,1.0,0,0,0,0,9.91,0.38,45.055,0.22,0
ACC-2026-0013,0841899411,2025-10,Enseignant,450.55,13,0.038,6,0,1.0,0,0,0,0,10.19,0.38,45.055,0.22,0
ACC-2026-0013,0841899411,2025-11,Enseignant,450.55,14,0.038,7,0,1.0,0,0,0,0,9.53,0.38,45.055,0.22,0
ACC-2026-0013,0841899411,2025-12,Enseignant,450.55,15,0.038,8,0,1.0,0,0,0,0,9.48,0.38,45.055,0.22,1
ACC-2026-0013,0841899411,2026-01,Enseignant,450.55,16,0.038,9,0,1.0,0,0,0,0,10.15,0.38,45.055,0.22,0
ACC-2026-0013,0841899411,2026-02,Enseignant,450.55,17,0.038,10,0,1.0,0,0,0,0,10.32,0.38,45.055,0.22,0
ACC-2026-0013,0841899411,2026-03,Enseignant,450.55,18,0.038,11,0,1.0,0,0,0,0,10.46,0.38,45.055,0.22,0
ACC-2026-0013,0841899411,2026-04,Enseignant,450.55,19,0.038,12,0,1.0,0,0,0,0,9.88,0.38,45.055,0.22,0
ACC-2026-0013,0841899411,2026-05,Enseignant,450.55,20,0.038,13,0,1.0,0,0,0,0,10.52,0.38,45.055,0.22,0
ACC-2026-0013,0841899411,2026-06,Enseignant,450.55,21,0.038,14,0,1.0,0,0,0,0,10.4,0.38,45.055,0.22,0
ACC-2026-0013,0841899411,2026-07,Enseignant,450.55,22,0.038,15,0,1.0,0,0,0,0,10.3,0.38,45.055,0.22,0
ACC-2026-0014,0849396529,2025-08,Commercant independant,144.07,57,0.378,4,0,1.0,0,0,0,0,8.13,3.02,18.009,0.36,0
ACC-2026-0014,0849396529,2025-09,Commercant independant,144.07,58,0.378,5,0,1.0,0,0,0,0,8.46,3.02,18.009,0.36,1
ACC-2026-0014,0849396529,2025-10,Commercant independant,144.07,59,0.378,6,0,1.0,0,0,0,0,8.41,3.02,18.009,0.36,0
ACC-2026-0014,0849396529,2025-11,Commercant independant,144.07,60,0.378,6,0,0.75,1,0,0,30,8.02,3.02,18.009,0.36,0
ACC-2026-0014,0849396529,2025-12,Commercant independant,144.07,61,0.378,7,0,0.8,1,0,0,0,7.92,3.02,18.009,0.36,0
ACC-2026-0014,0849396529,2026-01,Commercant independant,144.07,62,0.378,8,0,0.833,1,0,0,0,7.88,3.02,18.009,0.36,1
ACC-2026-0014,0849396529,2026-02,Commercant independant,144.07,63,0.378,8,0,0.714,2,0,0,30,7.89,3.02,18.009,0.36,0
ACC-2026-0014,0849396529,2026-03,Commercant independant,144.07,64,0.378,9,0,0.75,2,0,0,0,8.33,3.82,18.009,0.36,1
ACC-2026-0014,0849396529,2026-04,Commercant independant,144.07,65,0.378,10,0,0.778,2,0,0,0,7.51,3.82,18.009,0.36,0
ACC-2026-0014,0849396529,2026-05,Commercant independant,144.07,66,0.378,11,0,0.8,2,0,0,0,7.36,3.82,18.009,0.36,0
ACC-2026-0014,0849396529,2026-06,Commercant independant,144.07,67,0.378,11,1,0.727,2,0,1,30,8.16,3.82,18.009,0.36,1
ACC-2026-0014,0849396529,2026-07,Commercant independant,144.07,68,0.378,11,1,0.667,2,0,2,60,7.53,4.78,18.009,0.36,0
ACC-2026-0015,0849132114,2025-08,Enseignant,487.61,31,0.044,5,0,1.0,0,1,0,0,29.56,1.33,16.254,0.22,0
ACC-2026-0015,0849132114,2025-09,Enseignant,487.61,32,0.044,6,0,1.0,0,1,0,0,32.15,1.33,16.254,0.22,0
ACC-2026-0015,0849132114,2025-10,Enseignant,487.61,33,0.044,7,0,1.0,0,1,0,0,29.0,1.33,16.254,0.22,0
ACC-2026-0015,0849132114,2025-11,Enseignant,487.61,34,0.044,8,0,1.0,0,1,0,0,29.87,1.33,16.254,0.22,0
ACC-2026-0015,0849132114,2025-12,Enseignant,487.61,35,0.044,9,0,1.0,0,1,0,0,30.48,1.33,16.254,0.22,0
ACC-2026-0015,0849132114,2026-01,Enseignant,487.61,36,0.044,10,0,1.0,0,1,0,0,31.31,1.33,16.254,0.22,0
ACC-2026-0015,0849132114,2026-02,Enseignant,487.61,37,0.044,11,0,1.0,0,1,0,0,28.88,1.33,16.254,0.22,0
ACC-2026-0015,0849132114,2026-03,Enseignant,487.61,38,0.044,12,0,1.0,0,1,0,0,30.38,1.33,16.254,0.22,0
ACC-2026-0015,0849132114,2026-04,Enseignant,487.61,39,0.044,13,0,1.0,0,1,0,0,29.92,1.33,16.254,0.22,0
ACC-2026-0015,0849132114,2026-05,Enseignant,487.61,40,0.044,14,0,1.0,0,1,0,0,32.08,1.33,16.254,0.22,0
ACC-2026-0015,0849132114,2026-06,Enseignant,487.61,41,0.044,15,0,1.0,0,1,0,0,29.44,1.33,16.254,0.22,0
ACC-2026-0015,0849132114,2026-07,Enseignant,487.61,42,0.044,16,0,1.0,0,1,0,0,29.87,1.33,16.254,0.22,0
ACC-2026-0016,0843551903,2025-08,Commercant independant,316.84,5,0.312,5,0,1.0,0,0,0,0,9.36,3.12,31.684,0.36,1
ACC-2026-0016,0843551903,2025-09,Commercant independant,316.84,6,0.312,6,0,1.0,0,0,0,0,9.22,3.12,31.684,0.36,0
ACC-2026-0016,0843551903,2025-10,Commercant independant,316.84,7,0.312,7,0,1.0,0,0,0,0,9.32,3.12,31.684,0.36,0
ACC-2026-0016,0843551903,2025-11,Commercant independant,316.84,8,0.312,8,0,1.0,0,0,0,0,9.84,3.12,31.684,0.36,0
ACC-2026-0016,0843551903,2025-12,Commercant independant,316.84,9,0.312,9,0,1.0,0,0,0,0,10.05,3.12,31.684,0.36,0
ACC-2026-0016,0843551903,2026-01,Commercant independant,316.84,10,0.312,10,0,1.0,0,0,0,0,9.98,3.12,31.684,0.36,0
ACC-2026-0016,0843551903,2026-02,Commercant independant,316.84,11,0.312,11,0,1.0,0,0,0,0,10.3,3.12,31.684,0.36,0
ACC-2026-0016,0843551903,2026-03,Commercant independant,316.84,12,0.312,12,0,1.0,0,1,0,0,10.77,3.12,31.684,0.36,0
ACC-2026-0016,0843551903,2026-04,Commercant independant,316.84,13,0.312,13,0,1.0,0,2,0,0,9.47,3.12,31.684,0.36,1
ACC-2026-0016,0843551903,2026-05,Commercant independant,316.84,14,0.312,14,0,1.0,0,2,0,0,9.29,3.12,31.684,0.36,0
ACC-2026-0016,0843551903,2026-06,Commercant independant,316.84,15,0.312,15,0,1.0,0,2,0,0,9.86,3.12,31.684,0.36,0
ACC-2026-0016,0843551903,2026-07,Commercant independant,316.84,16,0.312,16,0,1.0,0,2,0,0,10.18,3.12,31.684,0.36,0
